marker,article,context,provenance,link
"Dang et al., 1998",P06-1117,"This constraint of having the same semantic roles is further ensured inside the VN lexicon which is constructed based on a more refined version of the Levins classification, called Intersective Levin classes (ILCs) (Dang et al., 1998).","We augmented the existing database of Levin semantic classes with a set of intersective classes, which were created by grouping to gether subsets of existing classes with over lapping members.",http://www.aclweb.org/anthology/P/P06/P06-1117.pdf
"Dang et. al, 1998",P13-3009,"For English verbs, the entire verb list (3750) enlisted by Levin (Levin, 1993) including extensions (Dang et. al, 1998; Kipper et. al, 2006; Korhonen and Briscoe, 2004) was classified according to the new classification.",Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/P/P13/P13-3009.pdf
"Dang et al., 1998",P99-1051,"Levin's study on diathesis alternations has influenced recent work on word sense disam biguation (Dorr and Jones, 1996), machine transla tion (Dang et al., 1998), and automatic lexical ac quisition (McCarthy and Korhonen, 1998; Schulte im Walde, 1998).","First, since our experi ment was based on a translation from English to Portuguese",http://www.aclweb.org/anthology/P/P99/P99-1051.pdf
"Dang et al., 1998",W00-0202,"We created a hierarchy of actions, exploiting the idea that verbs can be represented in a lattice that allows semantically similar verbs, such as motion verbs or verbs of contact, to be closely associatedwith each other under a common parent that cap tures the properties these verbs all share (Dang et al., 1998).","Intersective Levin sets partition these classes according to more co herent subsets of features (force, force+motion, force+separation), in effect highlighting a lattice of semantic features that determine the sense of a verb.",http://www.aclweb.org/anthology/W/W00/W00-0202.pdf
"Dang et al., 1998",W02-1108,"Manual classification of verbs to semanticclasses yields accurate results but is time con suming (Levin, 1993; Dang et al., 1998).",A verb was assigned membership in an intersective class if it was listed in each of the existing classes that were combined to form the new intersective class.,http://www.aclweb.org/anthology/W/W02/W02-1108.pdf
1998,W02-1108,"Dang et al (1998), for example, have refined the current classification by creating intersective classes for those verbs which share membership of more than one Levin class.","Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.",http://www.aclweb.org/anthology/W/W02/W02-1108.pdf
Dang et al 1998,W03-0910,This reorganization which was facilitated by the use of inter- sective Levin classes (Dang et al 1998) refined the classes to account for semantic and syntactic differences within a class,"We present a refinement of Levin classes, intersec tive sets, which are a more fine-grained clas sification and have more coherent sets of syn tactic frames and associated semantic compo nents.",http://www.aclweb.org/anthology/W/W03/W03-0910.pdf
"Dang et al., 1998",W04-2606,"Lexical-semantic classes which aim to capture the close relationship between the syntax and semantics of verbs have attracted considerable interest in both linguistics and computational linguistics (e.g. (Pinker, 1989; Jackendoff, 1990; Levin, 1993; Dorr, 1997; Dang et al., 1998; Merlo and Stevenson, 2001)).",The fundamental assumption is that the syntactic frames are a direct reflection of the un derlying semantics.,http://www.aclweb.org/anthology/W/W04/W04-2606.pdf
"Dang et al., 1998",W06-2611,"A very good candidate seems to be the Intersective Levin classes (Dang et al., 1998) that can be found as well in other predicate resources like PropBank and VerbNet (Kipper et al., 2000).",Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/W/W06/W06-2611.pdf
"Dang et al., 1998",W06-2611,"This constraint of having the same semantic roles is further ensured inside the VerbNet lexi con that is constructed based on a more refined version of the Levin classification called Inter- sective Levin classes (Dang et al., 1998).","Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.",http://www.aclweb.org/anthology/W/W06/W06-2611.pdf
"Dang et al., 1998",W11-0910,"Complicating the issue is the phenomenon of regular sense extensions (Dang et al., 1998), where what once may have been coercion has become entrenched and is now seen as a different sense of the verb.",Investigating regular sense extensions based on intersective Levin classes,http://www.aclweb.org/anthology/W/W11/W11-0910.pdf
"Dang et al , 1998",W99-0503,"In explormg these quest1ons, we focus on verb clas Sificatwn for several reasons Verbs are very Impor tant sources of knowledge m many language eng1neermg tasks, and the relat10nsh1ps among verbs ap pear to play a maJor role m the orgamzatwn and use of this knowledge h.nowledge about verb classe 1s cruc1al for lexical acqu1srt10n m support of language generatiOn and machme translatiOn (Dorr, 1997) and document clC!bsrficatwn (Klavans and Kan, 1998), :yet manual class1ficatwn of large numbers of verb'S 1s a d1fficult and resource mtens1ve task (Levm, 1993 MJ!ler et a! , 1990, Dang et al , 1998)","Current approaches to English classifica tion, Levin classes and WordNet, have limita tions in their applicability that impede their utility as general classification schemes.",http://www.aclweb.org/anthology/W/W99/W99-0503.pdf
1998,W99-0632,Palmer (1999) and Dang et a!. (1998) argue that the use of syntactic frames and verb classes can sim plify the definition of different verb senses.,"Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.",http://www.aclweb.org/anthology/W/W99/W99-0632.pdf
"Dang et al., 1998",W99-0632,"We also plan to experiment with different classification schemes for verb semantics such as WordNet (Miller et al., 1990) and intersective Levin classes (Dang et al., 1998).","Two current approaches to English verb classi fications are WordNet (Miller et al., 1990) and Levin classes (Levin, 1993).",http://www.aclweb.org/anthology/W/W99/W99-0632.pdf
"Mitkov, 1998",A00-1020,"Nevertheless, recent results show that knowledge-poor methods perform with amazing ac curacy (cf. (Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).","We have described a robust, knowledge-poor ap proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger. Evaluation shows a success rate of 89.7% for the genre of tech nical manuals and at least in this genre, the approach appears to be more successful than other similar methods. We have also adapted and evaluated the approach for Polish (93.3 % success rate) and for Arabic (95.2% success rate).",http://www.aclweb.org/anthology/A/A00/A00-1020.pdf
1998,D09-1101,"Like many heuristic-based pronoun resolvers (e.g., Mitkov (1998)), they first apply a set of constraints to filter grammatically incompatible candidate antecedents and then rank the remaining ones using salience factors.","Antecedent indicators (preferences) play a decisive role in tracking down the antecedent from a set of possible candidates. Candidates are assigned a score (-1, 0, 1 or 2) for each indicator; the candidate with the highest aggregate score is proposed as the ante cedent.",http://www.aclweb.org/anthology/D/D09/D09-1101.pdf
Mitkov 1998,E99-1031,"A huge variety of techniques are described in the literature, many of them achieving high suc cess rates on their own evaluation texts (cf. Hobbs 1986; Strube 1998; Mitkov 1998).",3.1 Evaluation A. Our first evaluation exercise (Mitkov & Stys 1997) was based on a random sample text from a technical manual in English (Minolta 1994). The resolution of anaphors was carried out with a suc cess rate of 95.8%. The evaluation indicated 83.6% success rate.,http://www.aclweb.org/anthology/E/E99/E99-1031.pdf
"Mitkov, 1998",E99-1031,"We implemented meta-modules to in terface to the genetic algorithm driver and to combine different salience factors into an over all score (similar to (Carbonell and Brown, 1988; Mitkov, 1998)).","Candidates are assigned a score (-1, 0, 1 or 2) for each indicator; the candidate with the highest aggregate score is proposed as the ante cedent. The antecedent indicators have been identi fied empirically and are related to salience (definiteness, givenness, indicating verbs, lexical reiteration, section heading preference, ""non prepositional"" noun phrases), to structural matches (collocation, immediate reference), to referential distance or to preference of terms.",http://www.aclweb.org/anthology/E/E99/E99-1031.pdf
Mitkov 1998,J01-4003,"Many hand-tested corpus evaluations have been done in the past (e.g., Walker 1989; Strube 1998; Mitkov 1998; Strube and Hahn 1999), but these have the drawback of being carried out on small corpora.","3.1 Evaluation A. Our first evaluation exercise (Mitkov & Stys 1997) was based on a random sample text from a technical manual in English (Minolta 1994). The evaluation carried out was manual to ensure that no added error was gen erated (e.g. due to possible wrong sentence/clause detection or POS tagging). Another reason for doing it by hand is to ensure a fair comparison with Breck Baldwin's method, which not being available to us, had to be hand-simulated (see 3.3). The evaluation indicated 83.6% success rate.",http://www.aclweb.org/anthology/J/J01/J01-4003.pdf
